school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,num_erw_benchmark,pct_erw_benchmark,num_math_benchmark,pct_math_benchmark,num_test_takers_benchmark,perc_participation,pct_test_takers_benchmark,year
Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,Los Angeles,47.0,36.0,8.0,22.22,7.0,19.44,5.0,76.59574468085107,13.89,2018-19
Blair High,Pasadena Unified,Los Angeles,156.0,64.0,44.0,68.75,28.0,43.75,27.0,41.02564102564102,42.19,2018-19
Pasadena High,Pasadena Unified,Los Angeles,414.0,202.0,144.0,71.29,103.0,50.99,95.0,48.792270531400966,47.03,2018-19
Redlands East Valley High,Redlands Unified,San Bernardino,545.0,376.0,271.0,72.07,201.0,53.46,194.0,68.9908256880734,51.6,2018-19
Grove,Redlands Unified,San Bernardino,31.0,19.0,16.0,84.21,14.0,73.68,13.0,61.29032258064516,68.42,2018-19
Ramona High,Ramona City Unified,San Diego,352.0,113.0,91.0,80.53,70.0,61.95,66.0,32.10227272727273,58.41,2018-19
Vista High (Alternative),West Contra Costa Unified,Contra Costa,170.0,26.0,12.0,46.15,3.0,11.54,3.0,15.294117647058824,11.54,2018-19
John F. Kennedy High,West Contra Costa Unified,Contra Costa,197.0,129.0,31.0,24.03,3.0,2.33,2.0,65.48223350253807,1.55,2018-19
Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,609.0,260.0,249.0,95.77,228.0,87.69,225.0,42.69293924466338,86.54,2018-19
San Marin High,Novato Unified,Marin,266.0,110.0,102.0,92.73,78.0,70.91,78.0,41.35338345864661,70.91,2018-19
Twentynine Palms High,Morongo Unified,San Bernardino,172.0,29.0,26.0,89.66,13.0,44.83,13.0,16.86046511627907,44.83,2018-19
KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,53.0,23.0,14.0,60.87,8.0,34.78,7.0,43.39622641509434,30.43,2018-19
Clovis West High,Clovis Unified,Fresno,486.0,173.0,154.0,89.02,124.0,71.68,121.0,35.59670781893004,69.94,2018-19
Downey High,Downey Unified,Los Angeles,1050.0,396.0,285.0,71.97,196.0,49.49,184.0,37.714285714285715,46.46,2018-19
Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,129.0,40.0,16.0,40.0,9.0,22.5,7.0,31.007751937984494,17.5,2018-19
Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,52.0,15.0,28.85,8.0,15.38,7.0,40.625,13.46,2018-19
Livingston High,Merced Union High,Merced,291.0,91.0,57.0,62.64,31.0,34.07,30.0,31.27147766323024,32.97,2018-19
Hamilton High,Hemet Unified,Riverside,54.0,52.0,19.0,36.54,12.0,23.08,11.0,96.29629629629629,21.15,2018-19
Charter School of San Diego,San Diego Unified,San Diego,499.0,23.0,18.0,78.26,10.0,43.48,10.0,4.609218436873747,43.48,2018-19
Weston Ranch High,Manteca Unified,San Joaquin,285.0,104.0,71.0,68.27,36.0,34.62,35.0,36.49122807017544,33.65,2018-19
Bret Harte Union High,Bret Harte Union High,Calaveras,152.0,46.0,42.0,91.3,29.0,63.04,29.0,30.263157894736842,63.04,2018-19
Pierce High,Pierce Joint Unified,Colusa,103.0,21.0,11.0,52.38,3.0,14.29,3.0,20.388349514563107,14.29,2018-19
North Monterey County High,North Monterey County Unified,Monterey,297.0,110.0,63.0,57.27,30.0,27.27,30.0,37.03703703703704,27.27,2018-19
