school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,avg_reading,avg_english,avg_math,avg_science,num_test_takers_21,perc_participation,pct_test_takers_21,year
N/A,Pasadena Unified,Los Angeles,1544.0,166.0,22.0,21.0,21.0,21.0,88.0,10.751295336787564,53.01,2018-19
N/A,Pomona Unified,Los Angeles,1897.0,266.0,19.0,18.0,18.0,19.0,82.0,14.022140221402212,30.83,2018-19
N/A,San Marino Unified,Los Angeles,275.0,95.0,28.0,29.0,29.0,27.0,86.0,34.54545454545455,90.53,2018-19
N/A,Santa Monica-Malibu Unified,Los Angeles,899.0,280.0,27.0,26.0,25.0,25.0,221.0,31.145717463848722,78.93,2018-19
N/A,South Pasadena Unified,Los Angeles,370.0,93.0,28.0,27.0,27.0,27.0,78.0,25.135135135135133,83.87,2018-19
N/A,Temple City Unified,Los Angeles,518.0,90.0,27.0,27.0,27.0,26.0,80.0,17.374517374517374,88.89,2018-19
N/A,Torrance Unified,Los Angeles,2115.0,440.0,25.0,24.0,25.0,24.0,334.0,20.803782505910164,75.91,2018-19
N/A,West Covina Unified,Los Angeles,1194.0,42.0,24.0,24.0,23.0,23.0,29.0,3.5175879396984926,69.05,2018-19
N/A,Whittier Union High,Los Angeles,3048.0,390.0,20.0,20.0,20.0,20.0,167.0,12.795275590551181,42.82,2018-19
N/A,William S. Hart Union High,Los Angeles,4252.0,748.0,26.0,25.0,24.0,24.0,585.0,17.591721542803388,78.21,2018-19
N/A,Compton Unified,Los Angeles,1361.0,795.0,16.0,14.0,16.0,15.0,57.0,58.41293166789126,7.17,2018-19
N/A,Hacienda la Puente Unified,Los Angeles,1459.0,113.0,22.0,20.0,21.0,22.0,64.0,7.74503084304318,56.64,2018-19
N/A,Rowland Unified,Los Angeles,1186.0,119.0,22.0,21.0,21.0,21.0,58.0,10.03372681281619,48.74,2018-19
N/A,Walnut Valley Unified,Los Angeles,1424.0,316.0,28.0,28.0,28.0,27.0,276.0,22.191011235955056,87.34,2018-19
N/A,San Gabriel Unified,Los Angeles,619.0,72.0,27.0,28.0,26.0,26.0,63.0,11.631663974151857,87.5,2018-19
N/A,Manhattan Beach Unified,Los Angeles,610.0,269.0,28.0,28.0,27.0,27.0,245.0,44.09836065573771,91.08,2018-19
N/A,Redondo Beach Unified,Los Angeles,757.0,267.0,24.0,24.0,23.0,24.0,191.0,35.270805812417436,71.54,2018-19
N/A,SBE - New West Charter,Los Angeles,90.0,19.0,27.0,28.0,24.0,25.0,16.0,21.11111111111111,84.21,2018-19
N/A,Alhambra Unified,Los Angeles,1902.0,238.0,25.0,25.0,25.0,24.0,174.0,12.513144058885384,73.11,2018-19
N/A,Wiseburn Unified,Los Angeles,428.0,120.0,20.0,20.0,19.0,20.0,43.0,28.037383177570092,35.83,2018-19
N/A,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15.0,15.0,17.0,16.0,3.0,50.76923076923077,9.09,2018-19
N/A,Chowchilla Union High,Madera,276.0,18.0,21.0,20.0,20.0,21.0,9.0,6.521739130434782,50.0,2018-19
N/A,Madera Unified,Madera,1296.0,271.0,18.0,17.0,18.0,18.0,65.0,20.910493827160494,23.99,2018-19
N/A,Golden Valley Unified,Madera,172.0,17.0,23.0,24.0,22.0,22.0,12.0,9.883720930232558,70.59,2018-19
N/A,Chawanakee Unified,Madera,154.0,32.0,22.0,20.0,20.0,20.0,17.0,20.77922077922078,53.13,2018-19
N/A,Yosemite Unified,Madera,202.0,37.0,22.0,21.0,22.0,22.0,22.0,18.316831683168317,59.46,2018-19
N/A,Novato Unified,Marin,667.0,197.0,25.0,24.0,24.0,23.0,137.0,29.535232383808097,69.54,2018-19
N/A,San Rafael City High,Marin,634.0,140.0,24.0,23.0,23.0,23.0,91.0,22.082018927444793,65.0,2018-19
N/A,Tamalpais Union High,Marin,1233.0,412.0,29.0,29.0,26.0,26.0,374.0,33.41443633414436,90.78,2018-19
N/A,Mariposa County Unified,Mariposa,149.0,16.0,24.0,22.0,23.0,22.0,8.0,10.738255033557047,50.0,2018-19
N/A,Fort Bragg Unified,Mendocino,119.0,24.0,25.0,24.0,22.0,23.0,17.0,20.168067226890756,70.83,2018-19
N/A,Ukiah Unified,Mendocino,525.0,23.0,25.0,23.0,23.0,23.0,16.0,4.380952380952381,69.57,2018-19
N/A,Hilmar Unified,Merced,166.0,26.0,22.0,20.0,20.0,20.0,11.0,15.66265060240964,42.31,2018-19
N/A,Le Grand Union High,Merced,102.0,33.0,17.0,15.0,17.0,17.0,4.0,32.35294117647059,12.12,2018-19
N/A,Los Banos Unified,Merced,815.0,58.0,21.0,20.0,19.0,20.0,25.0,7.116564417177915,43.1,2018-19
N/A,Merced Union High,Merced,2577.0,379.0,20.0,18.0,19.0,19.0,117.0,14.707023670935197,30.87,2018-19
N/A,Gustine Unified,Merced,155.0,28.0,20.0,19.0,17.0,19.0,8.0,18.064516129032256,28.57,2018-19
N/A,Delhi Unified,Merced,167.0,68.0,18.0,17.0,17.0,18.0,15.0,40.7185628742515,22.06,2018-19
N/A,Modoc Joint Unified,Modoc,57.0,40.0,17.0,15.0,17.0,18.0,10.0,70.17543859649122,25.0,2018-19
N/A,Tulelake Basin Joint Unified,Modoc,25.0,15.0,18.0,15.0,17.0,18.0,1.0,60.0,6.67,2018-19
N/A,Mammoth Unified,Mono,107.0,19.0,26.0,25.0,23.0,24.0,15.0,17.75700934579439,78.95,2018-19
N/A,Carmel Unified,Monterey,215.0,121.0,26.0,26.0,25.0,25.0,93.0,56.27906976744186,76.86,2018-19
N/A,South Monterey County Joint Union High,Monterey,557.0,88.0,18.0,17.0,17.0,17.0,14.0,15.798922800718133,15.91,2018-19
